     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/09/2012-06/15/2012,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                          
R035,168TH STREET & BROADWAY       ,00060601,00003622,00000376,00000905,00000159,00022871,00045378,00000000,00000000,00000000,00000000,00000175,00000000,00000283,00001681,00000662,00000517,00000000,00000311,00000000,00000000,00000000,00000000,                                                                                                                               
R036,DYCKMAN STREET                ,00003055,00000238,00000051,00000121,00000001,00002057,00001739,00000000,00000000,00000000,00000000,00000014,00000000,00000006,00000107,00000004,00000007,00000000,00000012,00000000,00000000,00000000,00000000,                                                                                                                               
R037,207TH STREET                  ,00014995,00000964,00000141,00000298,00000002,00012768,00009951,00000000,00000000,00000000,00000000,00000047,00000000,00000012,00000667,00000038,00000044,00000000,00000035,00000000,00000000,00000000,00000000,                                                                                                                               
R038,215TH STREET                  ,00005032,00000304,00000039,00000108,00000003,00002100,00003111,00000000,00000000,00000000,00000000,00000016,00000000,00000002,00000147,00000050,00000032,00000000,00000020,00000000,00000000,00000000,00000000,                                                                                                                               
R039,225TH STREET                  ,00012638,00000727,00000079,00000200,00000040,00007126,00007367,00000000,00000000,00000000,00000000,00000032,00000000,00000058,00000594,00000092,00000039,00000000,00000064,00000000,00000000,00000000,00000000,                                                                                                                               
R040,231ST STREET                  ,00019609,00001440,00000205,00000480,00000003,00010049,00013705,00000000,00000000,00000000,00000000,00000088,00000000,00000006,00000807,00000178,00000081,00000000,00000061,00000000,00000000,00000000,00000000,                                                                                                                               
R041,BOWLING GREEN & BATTERY PL    ,00052641,00002247,00000211,00000481,00000751,00015096,00033764,00000000,00000000,00000000,00000000,00000598,00000000,00001899,00002240,00000737,00000231,00000000,00000375,00000000,00000000,00000000,00000000,                                                                                                                               
R042,BOWLING GREEN & BROADWAY      ,00012421,00000297,00000036,00000074,00000144,00005296,00005473,00000000,00000000,00000000,00000000,00000111,00000000,00000271,00000304,00000120,00000034,00000000,00000165,00000000,00000000,00000000,00000000,                                                                                                                               
R043,WALL STREET                   ,00063017,00002269,00000140,00000400,00000994,00012744,00043557,00000000,00000000,00000000,00000000,00000749,00000000,00002599,00001508,00001063,00000453,00000000,00000443,00000000,00000000,00000000,00000000,                                                                                                                               
R044,BROOKLYN BRIDGE               ,00094736,00004589,00000324,00001248,00000516,00025797,00063179,00000000,00000000,00000000,00000000,00000640,00000000,00001489,00002176,00001092,00000701,00000000,00000651,00000000,00000000,00000000,00000000,                                                                                                                               
R045,42ND STREET & GRAND CENTRAL   ,00085382,00003258,00000103,00000425,00002597,00009838,00029749,00000000,00000000,00000000,00000000,00000717,00000000,00004007,00001316,00001765,00000354,00000000,00000319,00000000,00000000,00000000,00000000,                                                                                                                               
R046,42ND STREET & GRAND CENTRAL   ,00236534,00008381,00000450,00001234,00004229,00044362,00110143,00000000,00000000,00000000,00000000,00002013,00000000,00007396,00004648,00003490,00001050,00000000,00001497,00000000,00000000,00000000,00000000,                                                                                                                               
R047,42ND STREET & GRAND CENTRAL   ,00111634,00004417,00000221,00000743,00001553,00022829,00076530,00000000,00000001,00000000,00000000,00001337,00000000,00004085,00004483,00002073,00000686,00000000,00000494,00000000,00000000,00000000,00000000,                                                                                                                               
R048,42ND STREET & 3RD AVENUE      ,00032881,00001042,00000051,00000205,00000514,00004999,00020047,00000000,00000000,00000000,00000000,00000359,00000000,00000824,00001362,00000708,00000213,00000000,00000108,00000000,00000000,00000000,00000000,                                                                                                                               
R049,51ST STREET & LEXINGTON AVE   ,00068511,00002903,00000177,00000530,00000144,00018757,00044498,00000000,00000000,00000000,00000000,00000901,00000000,00000300,00002928,00000946,00000415,00000000,00000610,00000000,00000000,00000000,00000000,                                                                                                                               
R050,59TH STREET & LEXINGTON AVE   ,00075277,00003794,00000256,00000716,00000362,00021859,00055572,00000000,00000000,00000000,00000000,00000818,00000000,00000795,00002606,00001138,00000414,00000000,00000453,00000000,00000000,00000000,00000000,                                                                                                                               
R051,59TH STREET & LEXINGTON AVE   ,00097283,00005063,00000336,00001005,00000277,00035373,00076690,00000000,00000000,00000000,00000000,00000796,00000000,00000614,00004025,00001429,00000653,00000000,00000480,00000000,00000000,00000000,00000000,                                                                                                                               
R052,WOODLAWN ROAD                 ,00013980,00000774,00000207,00000343,00000010,00008688,00007650,00000000,00000000,00000000,00000000,00000066,00000000,00000007,00000591,00000073,00000020,00000000,00000041,00000000,00000000,00000000,00000000,                                                                                                                               
R053,149TH STREET & 3RD AVENUE     ,00048424,00001833,00000499,00000979,00000019,00038466,00025256,00000000,00000000,00000000,00000000,00000129,00000000,00000013,00002497,00000049,00000064,00000000,00000146,00000000,00000000,00000000,00000000,                                                                                                                               
R054,FIFTH AVENUE & 42ND STREET    ,00031994,00001410,00000076,00000340,00000199,00008282,00022102,00000000,00000000,00000000,00000000,00000374,00000000,00000176,00000874,00000420,00000168,00000000,00000178,00000000,00000000,00000000,00000000,                                                                                                                               
R055,MAIN STREET                   ,00101841,00007873,00000668,00004139,00000017,00040063,00113710,00000000,00000000,00000000,00000000,00000563,00000000,00000096,00002971,00000589,00000266,00000000,00000338,00000000,00000000,00000000,00000000,                                                                                                                               
R056,NEVINS STREET                 ,00026414,00001542,00000252,00000520,00000027,00012997,00016898,00000000,00000000,00000000,00000000,00000062,00000000,00000048,00000995,00000133,00000101,00000000,00000141,00000000,00000000,00000000,00000000,                                                                                                                               
R057,BARCLAYS CENTER               ,00090375,00004046,00000514,00001302,00002649,00030660,00061906,00000000,00000000,00000000,00000000,00000468,00000000,00004803,00002683,00001003,00000503,00000000,00000516,00000000,00000000,00000000,00000000,                                                                                                                               
R058,BERGEN STREET                 ,00010644,00000517,00000055,00000106,00000002,00003308,00010965,00000000,00000000,00000000,00000000,00000074,00000000,00000020,00000561,00000135,00000126,00000000,00000062,00000000,00000000,00000000,00000000,                                                                                                                               
R059,GRAND ARMY PLAZA              ,00019178,00001835,00000123,00000371,00000011,00005008,00018534,00000000,00000000,00000000,00000000,00000225,00000000,00000031,00001030,00000266,00000186,00000000,00000105,00000000,00000000,00000000,00000000,                                                                                                                               
R060,EASTERN PARKWAY               ,00010918,00000831,00000097,00000227,00000006,00004176,00010677,00000000,00000000,00000000,00000000,00000076,00000000,00000011,00000725,00000087,00000150,00000000,00000080,00000000,00000000,00000001,00000000,                                                                                                                               
R061,NOSTRAND AVENUE               ,00009438,00000495,00000104,00000145,00000000,00005828,00006261,00000000,00000000,00000000,00000000,00000046,00000000,00000007,00000378,00000026,00000043,00000000,00000042,00000000,00000000,00000000,00000000,                                                                                                                               
R062,UTICA AVENUE                  ,00055443,00002481,00000641,00001186,00000011,00036571,00035102,00000000,00000000,00000000,00000000,00000185,00000000,00000052,00002774,00000107,00000161,00000000,00000274,00000000,00000000,00000000,00000000,                                                                                                                               
R063,SUTTER AVENUE                 ,00018964,00000794,00000174,00000307,00000004,00011138,00007808,00000000,00000000,00000000,00000000,00000028,00000000,00000021,00000688,00000023,00000039,00000000,00000064,00000000,00000000,00000000,00000000,                                                                                                                               
R064,SARATOGA AVENUE               ,00015374,00000471,00000107,00000179,00000001,00007693,00006237,00000000,00000000,00000000,00000000,00000025,00000000,00000007,00000516,00000016,00000048,00000000,00000037,00000000,00000000,00000000,00000000,                                                                                                                               
R065,ROCKAWAY AVENUE               ,00014759,00000619,00000177,00000166,00000000,00007779,00005100,00000000,00000000,00000000,00000000,00000012,00000000,00000008,00000394,00000006,00000015,00000000,00000027,00000000,00000000,00000000,00000000,                                                                                                                               
R066,JUNIUS STREET                 ,00005069,00000345,00000060,00000076,00000000,00003634,00002137,00000000,00000000,00000000,00000000,00000022,00000000,00000000,00000148,00000004,00000010,00000000,00000021,00000000,00000000,00000000,00000000,                                                                                                                               
R067,PENNSYLVANIA AVENUE           ,00013694,00000506,00000157,00000168,00000000,00007842,00005291,00000000,00000000,00000000,00000000,00000025,00000000,00000008,00000389,00000003,00000016,00000000,00000031,00000000,00000000,00000000,00000000,                                                                                                                               
R068,VAN SICLEN AVENUE             ,00008682,00000285,00000068,00000075,00000000,00004955,00003608,00000000,00000000,00000000,00000000,00000028,00000000,00000001,00000259,00000009,00000004,00000000,00000013,00000000,00000000,00000000,00000000,                                                                                                                               
